"Region","water_year","r_BPUE"
"SouthCentral",1985,9539.63190817375
"SouthCentral",1986,3863.00706189466
"SouthCentral",1987,4710.38983294941
"SouthCentral",1988,11886.5369369941
"SouthCentral",1989,15429.7760323008
"SouthCentral",1990,13390.7190859944
"SouthCentral",1991,16843.2731052835
"SouthCentral",1992,28461.3528234456
"SouthCentral",1993,9997.70414824438
"SouthCentral",1994,40005.1334054353
"SouthCentral",1995,5150.49524069533
"SouthCentral",1996,7594.44324424891
"SouthCentral",1997,22961.1255873943
"SouthCentral",1998,7517.14060637519
"SouthCentral",1999,10159.3893567732
"SouthCentral",2000,23467.9456833832
"SouthCentral",2001,10206.7702146806
"SouthCentral",2002,25934.0899086988
"SouthCentral",2003,18546.3237837234
"SouthCentral",2004,25911.4661442878
"SouthCentral",2005,14987.5379133821
"SouthCentral",2006,2384.24865999892
"SouthCentral",2007,34472.5199417034
"SouthCentral",2008,23795.3849092612
"SouthCentral",2009,18637.0888947877
"SouthCentral",2010,12642.824337083
"SouthCentral",2011,1992.79766349468
"SouthCentral",2012,11025.1806805272
"SouthCentral",2013,14202.7682780478
"SouthCentral",2014,14119.4664754561
"SouthCentral",2015,18996.6436029994
"SouthCentral",2016,31093.3758594466
"SouthCentral",2017,12490.3511871673
"SouthCentral",2018,21435.2584224712
"SouthCentral",2019,6498.60946814807
"SouthCentral",2020,14682.9865608432
"Suisun Bay",1972,9862.25974632384
"Suisun Bay",1973,27835.1046655881
"Suisun Bay",1974,31644.3646081819
"Suisun Bay",1975,17337.6177787619
"Suisun Bay",1976,6627.98550847315
"Suisun Bay",1977,4623.99342658237
"Suisun Bay",1978,13309.6792614052
"Suisun Bay",1979,7937.59811120107
"Suisun Bay",1980,19187.4415879182
"Suisun Bay",1981,6496.10395867274
"Suisun Bay",1982,19991.2881288158
"Suisun Bay",1983,5277.953516869
"Suisun Bay",1984,10868.9121283444
"Suisun Bay",1985,8442.63595320318
"Suisun Bay",1986,26967.2368363734
"Suisun Bay",1987,4219.36155437425
"Suisun Bay",1988,1571.80476860374
"Suisun Bay",1989,2058.60657410768
"Suisun Bay",1990,899.364910381622
"Suisun Bay",1991,1610.80068402191
"Suisun Bay",1992,2469.21929633239
"Suisun Bay",1993,7111.12858210785
"Suisun Bay",1994,4637.83868594496
"Suisun Bay",1995,7488.2399684844
"Suisun Bay",1996,5087.62331110315
"Suisun Bay",1997,6770.46236252337
"Suisun Bay",1998,9850.33131433059
"Suisun Bay",1999,9710.79087314033
"Suisun Bay",2000,11672.699223931
"Suisun Bay",2001,4522.95191680145
"Suisun Bay",2002,7928.17259980396
"Suisun Bay",2003,10262.8084479221
"Suisun Bay",2004,4303.12772560481
"Suisun Bay",2005,6323.48469294122
"Suisun Bay",2006,12479.5918143612
"Suisun Bay",2007,5089.72663073459
"Suisun Bay",2008,6832.92003837228
"Suisun Bay",2009,6347.12309701279
"Suisun Bay",2010,7640.10011664499
"Suisun Bay",2011,9437.61905442039
"Suisun Bay",2012,8562.22646426834
"Suisun Bay",2013,8050.78972435376
"Suisun Bay",2014,6375.97684945789
"Suisun Bay",2015,8696.29560023845
"Suisun Bay",2016,16059.0635476459
"Suisun Bay",2017,30145.7651880869
"Suisun Bay",2018,10863.9171573391
"Suisun Bay",2019,19267.9615465402
"Suisun Bay",2020,10741.0932264826
"Suisun Marsh",1972,27722.7816019879
"Suisun Marsh",1973,40377.739604115
"Suisun Marsh",1974,34714.7465766667
"Suisun Marsh",1975,16699.4674966307
"Suisun Marsh",1976,34978.3481484759
"Suisun Marsh",1977,10264.8583733414
"Suisun Marsh",1978,29459.9527188386
"Suisun Marsh",1979,21143.6281593907
"Suisun Marsh",1980,25592.052046991
"Suisun Marsh",1981,15842.1343752612
"Suisun Marsh",1982,13947.8737849663
"Suisun Marsh",1983,6305.07694552451
"Suisun Marsh",1984,13816.4589080549
"Suisun Marsh",1985,30660.2223925262
"Suisun Marsh",1986,40083.6051428491
"Suisun Marsh",1987,20314.1799473603
"Suisun Marsh",1988,12165.1007616867
"Suisun Marsh",1989,19708.4491704477
"Suisun Marsh",1990,12766.7743736025
"Suisun Marsh",1991,17487.6566238518
"Suisun Marsh",1992,4231.35816256884
"Suisun Marsh",1993,7052.22010562555
"Suisun Marsh",1994,3547.65782464208
"Suisun Marsh",1995,5420.55239037927
"Suisun Marsh",1996,4468.21193845457
"Suisun Marsh",1997,6714.1774879365
"Suisun Marsh",1998,10718.4209980191
"Suisun Marsh",1999,13941.5938675135
"Suisun Marsh",2000,12462.1006623629
"Suisun Marsh",2001,4557.8015216277
"Suisun Marsh",2002,7697.71839645036
"Suisun Marsh",2003,5708.30636655783
"Suisun Marsh",2004,4885.05948096083
"Suisun Marsh",2005,4214.80887151445
"Suisun Marsh",2006,10422.4728299761
"Suisun Marsh",2007,4093.91077953509
"Suisun Marsh",2008,10647.5587247321
"Suisun Marsh",2009,3570.17325657241
"Suisun Marsh",2010,4296.04170457512
"Suisun Marsh",2011,5294.72830643966
"Suisun Marsh",2012,6785.86386220642
"Suisun Marsh",2013,6721.11608470308
"Suisun Marsh",2014,7650.99625499921
"Suisun Marsh",2015,10746.1495836658
"Suisun Marsh",2016,10655.3839453472
"Suisun Marsh",2017,29197.474746494
"Suisun Marsh",2018,12238.2832654922
"Suisun Marsh",2019,9986.25421514183
"Suisun Marsh",2020,10162.4399380527
