Year,Region,Temperature,Secchi,Salinity
1977,Suisun Marsh,NA,NA,NA
1978,Suisun Marsh,16.48820635,25.19583333,3.786265296
1979,Suisun Marsh,16.21856103,26.00029762,4.023843343
1980,Suisun Marsh,16.14687647,21.43912487,2.299722331
1981,Suisun Marsh,16.88558089,25.68590582,5.613347941
1982,Suisun Marsh,15.2785797,20.14090112,0.772076459
1983,Suisun Marsh,15.59239688,22.49562201,0.288239871
1984,Suisun Marsh,17.26518447,27.00848977,1.888994012
1985,Suisun Marsh,15.88513575,29.80878247,4.446085278
1986,Suisun Marsh,16.88699852,21.35946403,2.826918777
1987,Suisun Marsh,16.34687094,26.86456874,5.270708634
1988,Suisun Marsh,16.15300937,27.63653973,5.143137104
1989,Suisun Marsh,15.8713244,25.68426111,3.82941128
1990,Suisun Marsh,16.89621858,26.37886003,5.454832844
1991,Suisun Marsh,15.55124027,27.8950212,6.602221353
1992,Suisun Marsh,16.99924496,28.94248852,6.217534972
1993,Suisun Marsh,17.01980237,21.76312636,2.255228243
1994,Suisun Marsh,16.46219813,23.87020711,3.920210464
1995,Suisun Marsh,16.30301775,18.61380323,1.223036882
1996,Suisun Marsh,16.53721099,22.39740349,2.571031607
1997,Suisun Marsh,17.09097561,24.97939158,3.272052166
1998,Suisun Marsh,15.99370977,20.08933265,1.058173056
1999,Suisun Marsh,15.53653128,21.40267377,1.979011896
2000,Suisun Marsh,16.20038801,24.72634859,3.077961515
2001,Suisun Marsh,16.28796367,30.04502866,4.313120176
2002,Suisun Marsh,16.40217585,28.71622586,3.826958635
2003,Suisun Marsh,17.08929989,26.4209677,2.782914344
2004,Suisun Marsh,17.20248936,30.7252325,3.687441975
2005,Suisun Marsh,16.9323522,29.44525623,2.637711492
2006,Suisun Marsh,16.50845128,26.87053782,2.38378021
2007,Suisun Marsh,15.99931104,30.83510086,4.611004457
2008,Suisun Marsh,16.08747707,30.50308401,5.087210758
2009,Suisun Marsh,15.95976979,32.24806894,5.179598568
2010,Suisun Marsh,16.24307163,31.30428015,3.891543286
2011,Suisun Marsh,15.63506866,27.64633559,1.848398982
2012,Suisun Marsh,16.17307507,33.68973269,3.997314702
2013,Suisun Marsh,16.29668624,29.95446414,4.673287334
2014,Suisun Marsh,16.94733417,35.18740495,6.80538826
2015,Suisun Marsh,17.62940379,34.18933236,6.51231439
2016,Suisun Marsh,16.81607205,32.03939767,4.657825487
2017,Suisun Marsh,16.90236058,27.92348764,2.389891004
2018,Suisun Marsh,16.61183755,31.90463687,4.073269324
2019,Suisun Marsh,16.87023095,30.81602246,2.202716327
2020,Suisun Marsh,16.77774246,35.95329176,4.481613008
2021,Suisun Marsh,NA,NA,NA
